"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","bg_id","character",500,0,0,54,"=288; BG0000000927=4; BG0000000930=4; BG0000000932=4; BG0000000934=4; BG0000000935=4; BG0000000937=4; BG0000000942=4; BG0000000943=4; BG0000000947=4; BG0000000950=4; BG0000000952=4","; BG0000000927; BG0000000930; BG0000000932; BG0000000934; BG0000000935; BG0000000937; BG0000000942; BG0000000943; BG0000000947; BG0000000950; BG0000000952; BG0000000955; BG0000000956; BG0000000957; BG0000000958; BG0000000962; BG0000000967; BG0000000969; BG0000000972; BG0000000973; BG0000000977; BG0000000980; BG0000000981; BG0000000982; BG0000000983; BG0000000986; BG0000000987; BG0000000991; BG0000000992","no PLIDA metadata match by dataset+variable","","","BLADE Enterprise Group ID | Identifier - BLADE Enterprise Group ID","10 digit alphanumeric Blank = unit is not part of a BLADE Enterprise Group ABNs with a BG_ID are part of the profiled population. ABNs with no BG_ID are part of the non-profiled population. | 10 digit alphanumeric Blank = unit is not part of a BLADE Enterprise Group ABNs with a bg_id are part of the profiled population. ABNs with no bg_id are part of the non-profiled population. | 10 digit alphanumeric | 10 digit alphanumeric Blank = unit is not part of a BLADE Enterprise Group","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21 | 2021-22 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","bn","character",500,0,0,500,"BN00001651499=1; BN00002651502=1; BN00003651505=1; BN00004651508=1; BN00005651511=1; BN00006651514=1; BN00007651517=1; BN00008651520=1; BN00009651523=1; BN00010651526=1; BN00011651529=1; BN00012651532=1","BN00001651499; BN00002651502; BN00003651505; BN00004651508; BN00005651511; BN00006651514; BN00007651517; BN00008651520; BN00009651523; BN00010651526; BN00011651529; BN00012651532; BN00013651535; BN00014651538; BN00015651541; BN00016651544; BN00017651547; BN00018651550; BN00019651553; BN00020651556; BN00021651559; BN00022651562; BN00023651565; BN00024651568; BN00025651571; BN00026651574; BN00027651577; BN00028651580; BN00029651583; BN00030651586","no PLIDA metadata match by dataset+variable","","","bn - deidentified ABN | Identifier - deidentified ABN | Identifier bn - deidentified ABN | De-identified ABN | Deidentified abn | Deidentified ABN | Identifier - deidentifed ABN | Identifier - deidentified abn | Identifier - deidentified ABN (Australian Business Number)","10 digit alphanumeric | 10 alphanumeric | 10 alphanumeric categorical | 10 digit alphanumeric Unknown = 9999999999","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23 | 2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22 | 2022-23;2023-24;2024-25 | 2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23 | 2010-11;2015-16;2020-21 | 2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25 | 2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21 | 2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20 | 2025 | 2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","d_anzsic06","character",500,0,0,228,"8534=17; 8591=17; 8601=16; 8790=16; 8401=15; 8511=15; 8532=15; 8533=15; 8520=13; 8531=13; 3022=5; 7225=5","8534; 8591; 8601; 8790; 8401; 8511; 8532; 8533; 8520; 8531; 3022; 7225; 3030; 3914; 7220; 7224; 1112; 1113; 1116; 1121; 1122; 3015; 3911; 3920; 3921; 3928; 3930; 4516; 4519; 4521","no PLIDA metadata match by dataset+variable","","","Derived Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006","4 digit numeric 0 or 9999 - Unknown or missing","2001-02;2002-03;2003-04;2004-05"
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","d_div06","character",500,0,0,19,"Q=152; N=40; E=35; G=31; M=30; H=29; C=26; R=23; O=18; J=16; L=16; S=14","Q; N; E; G; M; H; C; R; O; J; L; S; P; B; K; I; D; A; F","no PLIDA metadata match by dataset+variable","","","Derived Industry Division 2006 | Derived Industry Division 2006 (cast) - derived from either cast_anzsic06 or d_anzsic06","A - Agriculture, Forestry and Fishing | 1 digit alphanumeric","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","d_sisca08","character",500,0,0,3,"1009=437; 3000=38; 1001=25","1009; 3000; 1001","no PLIDA metadata match by dataset+variable","","","Derived Standard Institutional Sector Classification of Australia (SISCA) 2008","4 digit numeric 0 or 9999 - Unknown or missing","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08"
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","frame_version","character",500,0,0,1,"in079_v1=500","in079_v1","no PLIDA metadata match by dataset+variable","","","Integration version (internal ABS reference)","up to 8 digit alphanumeric example: ""in182_v1"" | 8 digit alphanumeric","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","quarter","character",500,0,0,1,"2526Q4=500","2526Q4","no PLIDA metadata match by dataset+variable","","","Quarter | Financial year quarter data is in reference to** | The quarter of the financial year - derived | Reference Period | The quarter of the SITS record | Quarter of the financial year | The quarter of the JVS record | The quarter of the location record | The quarter of the insolvency appointment | Financial year quarter data is in reference to","6 digit alphanumeric YYYY is a financial year, i.e. 2021, 2122 ""YYYYQ1"" = July to September ""YYYYQ2"" = October to December ""YYYYQ3"" = January to March ""YYYYQ4"" = April to June | 4 digit alphanumeric YYYY is a financial year, i.e. 2021, 2122 ""YYYYQ1"" = July to September ""YYYYQ2"" = October to December ""YYYYQ3"" = January to March ""YYYYQ4"" = April to June | 6 digit alphanumeric ""YYYYQ1"" = July to September ""YYYYQ2"" = October to December ""YYYYQ3"" = January to March ""YYYYQ4"" = April to June example 2001-02 Q2 ""0102Q2"" | 6 digit alphanumeric YYYY is a financial year, i.e. 2324 ""YYYYQ1"" = July to September ""YYYYQ2"" = October to December ""YYYYQ3"" = January to March ""YYYYQ4"" = April to June | 6 alphanumeric ""YYYYQ1"" = July to September ""YYYYQ2"" = October to December ""YYYYQ3"" = January to March ""YYYYQ4"" = April to June example 2024-25 Q2 ""2425Q2"" | Character YYYYQX where 'X' is the financial year quarter (1 to 4) example: Q1(July, August, September) in 2012/13 = '1213Q1' (pre-BLADE equal to YYYYYYQX, the first four digits are the first year in the financial year followed by the last two digits of the last year in the financial year example: Q1 in 1904/05 = '190405Q1')","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 1996-97;1997-98;1998-99;1999-2000;2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25 | 2023-24 | 2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22 | 2022-23;2023-24;2024-25 | 2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","tsid","character",500,0,0,1,"26=500","26","no PLIDA metadata match by dataset+variable","","","Time series ID (last 2 digits of end year in a financial year) | Time series identifier (last 2 digits of end year in a financial year) | Time series ID (last 2 digits of end year in a financial year when application arrived for processing to the IP Australia system) | Time series identifier denoting the financial year in which the data was collected | Time series ID (last 2 digits of end year in a financial year when applicant registered R&D activites) | Time Series Identifier","2 digit numeric example: 2020/2021 = '21' | 2 digit numeric example: 2021/2022 = '22' | 2 digit numeric Example: 2020/2021 = '21' | 2 digit numeric example: 2023/2024 = '24' | 2 digit numeric | 2 digit numeric example: 2018/2019 = '19' | 2 digit numeric example: 2020-21 = '21' | 2 digit numeric example: 2019/2020 = '20'","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21 | 2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23 | 2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2020-21;2022-23 | 2021-22 | 2008-09;2011-12;2012-13;2014-15;2016-17;2018-19;2020-21;2022-23 | 2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24 | 2008-09;2011-12;2017-18 | 2011-12;2013-14;2017-18;2020-21;2022-23 | 1996-97;1997-98;1998-99;1999-2000;2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25 | 2023-24 | 2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22 | 2022-23;2023-24;2024-25 | 2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23 | 2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20 | 2015-16 | 2011-12;2013-14;2015-16;2017-18;2019-20;2021-22 | 2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2010-11;2015-16;2020-21 | 2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25 | 2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21 | 2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20 | 2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_al_st","integer",500,0,0,2,"0 / 1 / 1 / 1 / 1","0; 1","no PLIDA metadata match by dataset+variable","","","Alive status | Cross-sectional Alive status","0 = Dead / Cancelled 1 = Alive / Active 2 = Excluded units: not enough information available to stratify 9 = ABN linked to profiled population | 0 = Dead / Cancelled 1 = Alive / Active 2 = Excluded units: not enough information available to stratify 9 = ATO Client / ABN linked to profiled population . = Unknown or missing","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26 | 2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_anzsic06","character",500,0,0,228,"8534=17; 8591=17; 8601=16; 8790=16; 8401=15; 8511=15; 8532=15; 8533=15; 8520=13; 8531=13; 3022=5; 7225=5","8534; 8591; 8601; 8790; 8401; 8511; 8532; 8533; 8520; 8531; 3022; 7225; 3030; 3914; 7220; 7224; 1112; 1113; 1116; 1121; 1122; 3015; 3911; 3920; 3921; 3928; 3930; 4516; 4519; 4521","no PLIDA metadata match by dataset+variable","","","Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006","4 digit numeric 0 or 9999 - Unknown or missing","2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
