"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"blade","BLADE","abs-blade","a_barley","numeric",5785,5613,97.0268,157,"0.6800 / 2.5500 / 4.0950 / 6.3625 / 21.0100","","matched PLIDA variable metadata","Hectares of barley grown for grain, the second cereal in most winter rotations and the one that moves when malting premiums or feed demand …","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Barley","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_beans","numeric",5785,5613,97.0268,157,"0.8400 / 2.4850 / 4.1400 / 6.7575 / 16.7100","","matched PLIDA variable metadata","Hectares of beans grown as a field crop, the nitrogen-fixing break crop in the pulse group. FLAD names beans separately from a_other_legume…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Beans","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_bear_bananas","numeric",5785,5613,97.0268,155,"0.5800 / 2.6000 / 4.0850 / 6.3825 / 18.1100","","matched PLIDA variable metadata","Hectares of bananas old enough to fruit, which is the part of a plantation that can earn revenue this year. The ABS publishes the item as ""…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area (bearing age), Bananas","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_bear_grapes","numeric",5785,5613,97.0268,156,"1.0200 / 2.7725 / 4.3100 / 6.6675 / 13.6500","","matched PLIDA variable metadata","Hectares of grapevines old enough to crop, which for a new planting is typically the third or fourth year. The ABS publishes the matching i…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area (bearing age), Grapes","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_bear_other_fruit","numeric",5785,5613,97.0268,159,"0.7900 / 2.5450 / 4.2700 / 6.3725 / 19.5100","","matched PLIDA variable metadata","Hectares of bearing-age fruit that FLAD does not name separately, the residual fruit line excluding the orchard group. It picks up berries,…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area (bearing age), Other fruit","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_bear_other_orchard","numeric",5785,5613,97.0268,157,"0.5300 / 2.5275 / 4.2500 / 6.2550 / 18.9500","","matched PLIDA variable metadata","Hectares of bearing-age orchard other than the crops FLAD names, so apples, pears, stone fruit and citrus pooled into one line. The ABS pub…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area (bearing age), Other orchard","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_bear_pineapples","numeric",5785,5613,97.0268,158,"0.6300 / 2.8700 / 4.0900 / 6.6625 / 21.3000","","matched PLIDA variable metadata","Hectares of pineapples of bearing age, an almost entirely Queensland crop with an eighteen-month to two-year cycle from planting to first f…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area (bearing age), Pineapples","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_bear_strawberries","numeric",5785,5613,97.0268,154,"0.820 / 2.580 / 4.080 / 7.085 / 16.350","","matched PLIDA variable metadata","Hectares of strawberries of bearing age. Strawberries are usually replanted from runners every year, so unlike vines or bananas the bearing…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area (bearing age), Strawberries","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_canola","numeric",5785,5613,97.0268,151,"1.0600 / 2.7450 / 3.8600 / 6.7575 / 19.0200","","matched PLIDA variable metadata","Hectares of canola, the main oilseed in the winter rotation and usually the highest-gross-margin break crop on a cereal farm. The ABS item …","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Canola","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_carrots","numeric",5785,5613,97.0268,157,"0.5500 / 2.7800 / 3.8650 / 6.5325 / 18.3600","","matched PLIDA variable metadata","Hectares of carrots, a root vegetable grown on sandy irrigated country by a small number of large operations. Most of the area is in Wester…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Carrots","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
