"dataset","variable","variable_description","description_source","description_source_url"
"A&T","APPROVEDAMOUNT","Approved amount of the payment.","PLIDA DIL variable identifier and table context","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"A&T","GSTAMOUNT","Goods and services tax amount associated with the payment.","PLIDA DIL variable identifier and table context","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"A&T","IN_MAY_23","Indicator that the address was coded to the May 2023 ASGS index.","Related PLIDA DIL address-variable descriptions","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"A&T","NUMBEROFAPPRENTICESHIPCOMP","Number recorded for the apprenticeship COMP measure.","PLIDA DIL variable identifier and table context","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"A&T","NUMBEROFAPPRENTICESHIPS","Number of apprenticeships associated with the apprentice journey.","PLIDA DIL variable identifier and table context","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"A&T","PAYGTAXAMOUNT","Pay as you go tax amount associated with the payment.","PLIDA DIL variable identifier and table context","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"A&T","PAYMENTEFFECTDATE","Date from which the payment takes effect.","PLIDA DIL variable identifier and table context","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"A&T","PAYMENTENDDATE","Date on which the payment period ends.","PLIDA DIL variable identifier and table context","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"A&T","PAYMENTGROUP","Payment group or category.","PLIDA DIL variable identifier and table context","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"A&T","PAYMENTSSTARTDATE","Date on which the payments start.","PLIDA DIL variable identifier and table context","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"A&T","QUALCODESUPERCEDES","Qualification code superseded by the base qualification.","PLIDA DIL table context and National Training Register","https://training.gov.au/"
"BIRTHS","DUPLICATE_FLAG","Indicator that the birth record is identified as a duplicate.","PLIDA DIL variable identifier and ABS Births methodology","https://www.abs.gov.au/methodologies/births-australia-methodology/2024"
"BIRTHS","FLAG","Address-coding flag.","Related PLIDA DIL address-variable description","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"BIRTHS","IN_MAY_24","Indicator that the address was coded to the May 2024 ASGS index.","Related PLIDA DIL address-variable description","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
